id,program_id,we_weekno,we_weekno_text,we_weektitle,we_no_ofstep,we_manual,we_start_message,we_end_message,we_certification_vdo,status,we_type
189,41,2,Week Two,Week Two,10,1705650554_f65c94feb10c9aef27ec.pdf,,,0,1,paid
190,41,3,Week Three,Week Three,8,1705650600_8150a375c33d92d20f07.pdf,,,0,1,paid
191,41,4,Week Four,Week Four,6,1705650645_c03291398371c9705938.pdf,,,0,1,paid
192,41,5,Week Five,Week Five,4,1705650686_4714884b974fb4822350.pdf,,,0,1,paid
193,41,6,Week Six,Week Six,2,1705650728_373dfeb71ded3dd74f6c.pdf,,,0,1,paid
194,42,1,Week One,Week One,9,1705665450_dc20504f60589deeeab3.pdf,,,0,1,paid
195,42,2,Week Two,Week Two,6,1705665589_0fb477f42c7f18fc430c.pdf,,,0,1,paid
196,42,3,Week Three,Week Three,4,1705665708_87aa18726801c885f885.pdf,,,0,1,paid
197,42,4,Week Four,Week Four,4,1705665769_e0433842809b24b032b0.pdf,,,0,1,paid
198,43,1,Week One,Week One,6,week1.pdf,,,0,1,paid
199,43,2,Week Two,Week Two,7,week2.pdf,,,0,1,paid
200,43,3,Week Three,Week Three,8,week3.pdf,,,0,1,paid
201,43,4,Week Four,Week Four,6,week4.pdf,,,0,1,paid
202,43,5,Week Five,Week Five,4,week5.pdf,,,0,1,paid
203,43,6,Week Six,Week Six,4,week6.pdf,,,0,1,paid
204,42,5,Certification,Certification,1,,,,0,1,paid
205,44,1,Week One,Week One,9,1706684150_1f8125368a4bfa7e1902.pdf,,,0,1,paid
206,44,2,Week Two,Week Two,6,1706684252_6735ddf1df846818e6b6.pdf,,,0,1,paid
207,44,3,Week Three,Week Three,4,1706684252_d2ae6ad72782b9c3bd2a.pdf,,,0,1,paid
208,44,4,Week Four,Week Four,4,1706684378_583815f78dc047cc9982.pdf,,,0,1,paid
209,45,1,Week One,Week One,6,1706684471_7cbd1e7490a6c9e83e1f.pdf,,,0,1,paid
210,45,2,Week Two,Week Two,7,1706693736_54858ac576fdbdfb3909.pdf,,,0,1,paid
211,45,3,Week Three,Week Three,8,1706694382_d7fbd06dda553dcad899.pdf,,,0,1,paid
212,45,4,Week Four,Week Four,6,1706694869_ffd7a35abf490c3f686e.pdf,,,0,1,paid
213,45,5,Week Five,Week Five,4,1706694878_b10e73850610e01558ac.pdf,,,0,1,paid
214,45,6,Week Six,Week Six,4,1706694975_d2ba3c3ff6b6fcaec829.pdf,,,0,1,paid
215,40,5,Certificate,Certificate,1,,,,0,1,paid
216,38,5,Marketing Hub,Marketing Hub,1,,,,0,1,marketing
217,31,4,Certificate,Certificate,4,,,,0,1,certificate
218,38,4,Certification,Certification,4,,CONGRATULATIONS!,,0,1,certificate
219,46,0,Get Started,Get Started,1,,,,0,1,paid
220,46,1,Week One,Week One,2,,,,0,1,paid
221,46,2,Week Two,Week Two,2,,,,0,1,paid
222,46,3,Week Three,Week Three,2,,,,0,1,paid
