id	program_id	week_id	week	stp_title	stp_stepno	stp_videoid	stp_video_length	stp_select_activity	status
362	20	3	3	LETTING GO HOLDING ON DEBRIEF	4	742275305	11:19	0	1
363	20	4	4	Aapka CODING (TOOL)	1	742275205	5:48	0	1
364	20	4	4	CODING DEBRIEF	2	742275139	2:20	0	1
365	20	4	4	Aapki kahani (ACTIVITY)	3	742275044	7:38	0	1
366	20	4	4	Aapki kahani (DEBRIEF)	4			0	1
367	20	5	5	Aapka outcomes plus par swagat hai !	1	742274924	7:57	0	1
368	20	5	5	Kaunse outcome ko ahmiyat de? (ACTIVITY)	2			0	1
369	20	3	3	DEFINING MOMENTS	2	742275427	9:56	0	1
370	20	5	5	Apne sabse khas outcome ko chune (ACTIVITY)	4			12	1
371	20	5	5	Apne sabse khas outcome ko chune (DEBRIEF)	5			0	1
372	20	5	5	Journal activity	6			0	1
373	20	6	6	INCRED OUTCOMES	1	742274579	19:06	0	1
374	20	6	6	INCRED OUTCOMES BANAYE (ACTIVITY)	2	742274759	03:36	0	1
375	20	6	6	INCRED OUTCOMES BANAYE (DEBRIEF)	3			0	1
376	20	6	6	CHALLENGES ACTIVITY	4			0	1
377	20	6	6	CHALLENGES DEBRIEF	5			0	1
378	20	6	6	POWER LEAPS (ACTIVITY)	6	742274458	09:12	0	1
379	20	6	6	POWER LEAPS (DEBRIEF)	7	742274391	01:59	0	1
380	20	7	7	Satava hafta, unleash you mein aapka swagat hai	1	742274318	03:50	0	1
381	20	7	7	Meri pichhli zindagi mein kiye hue faisle (ACTIVITY)	2	742274241	01:23	0	1
382	20	7	7	Meri pichhli zindagi mein kiye hue faisle (DEBRIEF)	3	742274199	02:16	0	1
383	20	7	7	DECISION MAKING WHEEL (ACTIVITY)	4	742274094	07:17	11	1
384	20	7	7	DECISION MAKING WHEEL (DEBRIEF)	5			0	1
385	20	7	7	Ek asali faisla kare (ACTIVITY)	6	742273996	06:02	0	1
386	20	7	7	Ek asali faisla kare (DEBRIEF)	7			0	1
387	20	7	7	Journal activity	8			0	1
388	20	8	8	BUZZ MOMENTS (ACTIVITY)	2	742273868	06:19	0	1
389	20	8	8	BUZZ MOMENTS (DEBRIEF)	3	742273782	05:20	0	1
390	20	8	8	MY MASTERMIND (ACTIVITY)	4	742273568	09:14	0	1
391	20	8	8	MY MASTERMIND (DEBRIEF)	5	742273688	02:08	0	1
392	20	8	8	Journal activity	6			0	1
393	20	9	9	Nauve hafte mein aap sabhi ka swagat hai !	1			0	1
394	20	9	9	CRAZY FEARLESS DREAMS & VISION BOARD (ACTIVITY)	2	742273361	12:21	0	1
395	20	9	9	CRAZY FEARLESS DREAMS & VISION BOARD (DEBRIEF)	3	742273505	02:05	0	1
396	20	9	9	JOURNAL ACTIVITY	4			0	1
397	20	10	10	Incredible you ke aakhri hafte mein aap sabhi ka swagat hai !	1			0	1
398	20	10	10	SUCCESS BLUEPRINT (ACTIVITY)	2	742273250	06:57	0	1
399	20	10	10	SUCCESS BLUEPRINT (DEBRIEF)	3			0	1
400	20	10	10	CERTIFICATION	4			18	1
401	20	1	1	THE SPEECH ( DEBRIEF )	8	742273083	1:42	0	1
402	20	5	5	Kaunse outcome ko ahmiyat de?(DEBRIEF)	3	742274815	5:10	0	1
471	5	6	6	CERTIFICATE	1			18	1
476	5	7	7	DISCOVERY SESSION	1	743074102	42:06	0	1
477	6	6	6	CERTIFICATE	4			18	1
478	6	6	6	HOW TO COMPLETE THE CERTIFICATION	1	742667716	02:32	0	1
479	11	1	1	WHEEL OF LIFE (DEBRIEF)	6	742194543	03:01	0	1
481	21	47	1	WELCOME TO THE 10-WEEK JOURNEY	1	742194439	NULL	0	1
482	21	47	1	INTRODUCTION	2		NULL	0	1
483	21	47	1	WHO ARE YOU	3		NULL	1	1
484	21	47	1	WHO ARE YOU (DEBRIEF)	4	742194482	NULL	0	1
485	21	47	1	WHEEL OF LIFE	5		NULL	3	1
486	21	47	1	NEW TOPIC BEGINS	7		NULL	0	1
487	21	47	1	THE INNER DNA (INTRODUCTION TO THE NEW TOPIC)	8	742194592	NULL	0	1
488	21	47	1	THE SPEECH (ACTIVITY)	9	742194681	NULL	0	1
489	21	47	1	THE SPEECH (DEBRIEF)	10	742194750	NULL	0	1
490	21	47	1	DISCOVER YOUR INNER DNA	11		NULL	4	1
491	21	48	2	WELCOME TO WEEK 2!	1	742194799	NULL	0	1
492	21	48	2	BASELINES EXPRESSION ACTIVITY	2		NULL	0	1
493	21	48	2	BASELINES EXPRESSION ACTIVITY DEBRIEF	3	742194855	NULL	0	1
494	21	48	2	BASELINES NON EXPRESSION ACTIVITY	4		NULL	0	1
495	21	48	2	BASELINES NON EXPRESSION ACTIVITY DEBRIEF	5	742194906	NULL	0	1
496	21	48	2	THE CHANGE ACTIVITY	6		NULL	0	1
497	21	48	2	THE CHANGE DEBRIEF	7	742194975	NULL	0	1
498	21	48	2	JOURNAL EXERCISE AND CONCLUSION	8		NULL	0	1
499	21	49	3	WELCOME TO WEEK 3, THE INTEGRATED POWER CODING!	1	742195045	NULL	0	1
500	21	49	3	THE DEFINING MOMENTS (ACTIVITY)	2	742195114	NULL	0	1
501	21	49	3	THE DEFINING MOMENTS (DEBRIEF)	3	742195184	NULL	0	1
502	21	49	3	THE JOURNAL EXERCISE	4		NULL	0	1
503	21	50	4	THE CODING	1	742195256	NULL	8	1
504	21	50	4	THE CODING (DEBRIEF)	2		NULL	0	1
505	21	50	4	VISION	3	742195328	NULL	0	1
506	21	50	4	VISION (ACTIVITY)	4		NULL	0	1
507	21	50	4	VISION (DEBRIEF)	5		NULL	0	1
508	21	50	4	JOURNAL EXERCISE	6		NULL	0	1
509	21	51	5	WELCOME TO WEEK 5, THE OUTCOMES PLUS!	1	742207800	NULL	0	1
510	21	51	5	WHAT DO I NEED TO FOCUS ON? (ACTIVITY)	2		NULL	0	1
511	21	51	5	WHAT DO I NEED TO FOCUS ON? (DEBRIEF)	3		NULL	0	1
512	21	51	5	DEFINE THE OUTCOME	4		NULL	12	1
513	21	51	5	DEFINE THE OUTCOME (DEBRIEF)	5	742207748	NULL	0	1
514	21	51	5	JOURNAL EXERCISE	6		NULL	0	1
515	21	52	6	WELCOME TO WEEK 6, THE OUTCOMES PLUS LEVEL 2!	1	742208747	NULL	0	1
516	21	52	6	CRAFTING INCRED OUTCOME (ACTIVITY)	3		NULL	0	1
517	21	52	6	THE INCRED PROCESS	2	742208747	NULL	0	1
518	21	52	6	CRAFTING INCRED OUTCOME (DEBRIEF)	4		NULL	0	1
519	21	52	6	CHALLENGES (ACTIVITY)	5		NULL	0	1
520	21	52	6	CHALLENGES (DEBRIEF)	6	742208861	NULL	0	1
521	21	52	6	POWER LEAPS	7	742208915	NULL	0	1
522	21	52	6	POWER LEAPS (ACTIVITY)	8		NULL	0	1
523	21	52	6	POWER LEAPS (DEBRIEF)	9	742208997	NULL	0	1
524	21	52	6	JOURNAL EXERCISE	10		NULL	0	1
525	21	53	7	WELCOME TO WEEK 7, UNLEASH YOU!	1		NULL	0	1
526	21	53	7	MY PAST DECISIONS (ACTIVITY)	2	742600302	NULL	0	1
527	21	53	7	MY PAST DECISIONS (DEBRIEF)	3		NULL	0	1
528	21	53	7	THE DECISION-MAKING WHEEL	4		NULL	11	1
529	21	53	7	THE DECISION-MAKING WHEEL (DEBRIEF)	5		NULL	0	1
530	21	53	7	LET'S MAKE A DECISION	6		NULL	11	1
531	21	53	7	LET'S MAKE A DECISION (DEBRIEF)	7	742600374	NULL	0	1
532	21	53	7	JOURNAL EXERCISE	8		NULL	0	1
533	21	54	8	WELCOME TO WEEK 8, UNLEASH YOU CONTINUES!	1		NULL	0	1
534	21	54	8	BUZZ MOMENTS (ACTIVITY)	2	742600443	NULL	0	1
535	21	54	8	BUZZ MOMENTS (DEBRIEF)	3	742613615	NULL	0	1
536	21	54	8	MY MASTERMIND CIRCLE (ACTIVITY)	4	742599970	NULL	0	1
537	21	54	8	MY MASTERMIND CIRCLE (DEBRIEF)	5	742600026	NULL	0	1
538	21	54	8	JOURNAL EXERCISE	6		NULL	0	1
539	21	55	9	WELCOME TO WEEK 9, THE SUCCESS BLUEPRINT!	1		NULL	0	1
540	21	55	9	CRAZY FEARLESS DREAMS (ACTIVITY)	2	742600078	NULL	0	1
541	21	55	9	CRAZY FEARLESS DREAMS (DEBRIEF)	3	742600158	NULL	0	1
542	21	55	9	JOURNAL EXERCISE	4		NULL	0	1
543	21	56	10	WELCOME TO WEEK 10, THE SUCCESS BLUEPRINT, THE FINAL BLUEPRINT	1	742600212	NULL	0	1
544	21	1	1	WHEEL OF LIFE (DEBRIEF)	6	742194543	NULL	0	1
545	21	137	11	Certification	1		NULL	0	1
609	4	4	4	Certification	1		NULL	18	1
610	7	5	5	Certification	1		NULL	18	1
612	21	NULL	11	Certification	1		NULL	18	1
613	14	5	5	Certification	1			18	1
616	1	6	6	Client Registration link demo	1			19	1
617	1	6	6	Certificate	4			18	1
636	12	0	0	INNER DNA TEST	1			2	1
637	12	0	0	WHEN DOES MY TRAINING BEGIN?	2		NULL	21	1
638	13	10	10	Certification	1		NULL	18	1
639	12	5	5	Certification	1		NULL	18	1
641	9	1	1	INNER DNA TEST	1			1	1
642	13	9	9	BOOK INFORMATION	1		NULL	24	1
643	13	9	9	FEEDBACK SUBMITTED	2		NULL	0	1
644	13	9	9	BOOK COVER SUBMITTED	3		NULL	0	1
645	13	9	9	BOOK PRICING	4		NULL	24	1
646	13	9	9	BOOK FINAL	5		NULL	0	1
647	13	9	9	TESTIMONIALS	6		NULL	24	1
648	1	6	6	The Incredible You program registration link	3			19	1
649	6	6	6	MCQ Test	2			0	1
650	6	6	6	Certification Videos	3			0	1
651	6	1	1	INNER DNA	5			17	1
652	6	1	1	BASELINES NON-EXPRESSION DEBRIEF	13			17	1
653	6	1	1	THE CHANGE DEBRIEF	15			17	1
654	11	10	10	CERTIFICATION	2			18	1
655	0	0	0	WHAT COACHING REALLY IS?	1	742211064	06:13	0	1
656	0	0	0	WHAT IS YOUR VISION AND MISSION?	2	742210982	09:12	17	1
657	0	0	0	THE POWER OF IMAGINATION	3	742211132	12:45	17	1
658	31	0	0	INNER DNA TEST	2			1	1
659	31	0	0	THE WELCOME SESSION	1	742213307	16:19	0	1
660	31	0	0	THE WELCOME SESSION DEBRIEF & THE INNER DNA TEST DEBRIEF	3	742213518	16:51	17	1
