id	program_id	week_id	week	stp_title	stp_stepno	stp_videoid	stp_video_length	stp_select_activity	status
852	42	2	2	BASELINES EXPRESSION ACTIVITY	2	784094769	02:05	0	1
853	42	2	2	BASELINES NON - EXPRESSION ACTIVITY	3	784095886	01:52	0	1
854	42	2	2	BASELINES EXPRESSION AND NON - EXPRESSION DEBRIEF	4	784097761	03:27	0	1
855	42	2	2	THE CHANGE ACTIVITY	5			0	1
856	42	2	2	THE CHANGE DEBRIEF AND JOURNAL EXERCISE	6	784098398	07:58	0	1
857	42	3	3	Teesare hafte mein aapka swagat hai!	1	784101028	09:21	0	1
858	42	3	3	DEFINING MOMENTS	2	784102758	12:11	0	1
859	42	3	3	LETTING GO HOLDING ON ACTIVITY	3			0	1
860	42	3	3	LETTING GO HOLDING ON DEBRIEF	4	784104871	06:21	0	1
861	42	4	4	Aapka CODING (TOOL)	1	784106168	03:34	8	1
862	42	4	4	CODING DEBRIEF	2	742275139	2:20	0	1
863	42	4	4	Aapki kahani (ACTIVITY)	3	784106554	07:22	0	1
864	42	4	4	Aapki kahani (DEBRIEF)	4			0	1
841	42	5	5	CERTIFICATION	1			18	1
865	43	1	1	Aapka outcomes plus par swagat hai !	1	784107373	10:05	0	1
866	43	1	1	Kaunse outcome ko ahmiyat de? (ACTIVITY)	2			0	1
867	43	1	1	Kaunse outcome ko ahmiyat de?(DEBRIEF)	3	784108285	04:41	0	1
869	43	1	1	Apne sabse khas outcome ko chune (ACTIVITY)	4			12	1
870	43	1	1	Apne sabse khas outcome ko chune (DEBRIEF)	5			0	1
974	43	1	1	Journal activity	6			0	1
871	43	2	2	INCRED OUTCOMES	1	784109636	07:04	0	1
872	43	2	2	INCRED OUTCOMES BANAYE (ACTIVITY)	2	784111493	01:53	0	1
873	43	2	2	INCRED OUTCOMES BANAYE (DEBRIEF)	3			0	1
874	43	2	2	CHALLENGES ACTIVITY	4			0	1
875	43	2	2	CHALLENGES DEBRIEF	5			0	1
876	43	2	2	POWER LEAPS (ACTIVITY)	6	784112089	07:27	0	1
877	43	2	2	POWER LEAPS (DEBRIEF)	7	784113072	01:24	0	1
878	43	3	3	Satava hafta, unleash you mein aapka swagat hai.	1	784113183	03:46	0	1
879	43	3	3	Meri pichhli zindagi mein kiye hue faisle (ACTIVITY)	2	784113851	00:51	0	1
880	43	3	3	Meri pichhli zindagi mein kiye hue faisle (DEBRIEF)	3	784114026	01:55	0	1
881	43	3	3	DECISION MAKING WHEEL (ACTIVITY)	4	784114423	02:41	11	1
882	43	3	3	DECISION MAKING WHEEL (DEBRIEF)	5			0	1
883	43	3	3	Ek asali faisla kare (ACTIVITY)	6	784114927	02:28	0	1
884	43	3	3	Ek asali faisla kare (DEBRIEF)	7			0	1
885	43	3	3	Journal activity	8			0	1
886	43	4	4	Aathave hafte mein aapka swagat!	1	784115708	01:00	0	1
887	43	4	4	BUZZ MOMENTS (ACTIVITY)	2	784115904	04:25	0	1
888	43	4	4	BUZZ MOMENTS (DEBRIEF)	3	784116682	00:52	0	1
889	43	4	4	MY MASTERMIND (ACTIVITY)	4	784116896	04:21	0	1
890	43	4	4	MY MASTERMIND (DEBRIEF)	5	784117459	01:58	0	1
891	43	4	4	Journal activity	6			0	1
892	43	5	5	Nauve hafte mein aap sabhi ka swagat hai !	1	784117862	00:51	0	1
893	43	5	5	CRAZY FEARLESS DREAMS & VISION BOARD (ACTIVITY)	2	784118012	01:43	0	1
894	43	5	5	CRAZY FEARLESS DREAMS & VISION BOARD (DEBRIEF)	3	784118334	01:04	0	1
895	43	5	5	JOURNAL ACTIVITY	4	784118636	03:43	0	1
896	43	6	6	Incredible you ke aakhri hafte mein aap sabhi ka swagat hai !	1	784120135	03:19	0	1
897	43	6	6	SUCCESS BLUEPRINT (ACTIVITY)	2	742273250	06:57	0	1
898	43	6	6	SUCCESS BLUEPRINT (DEBRIEF)	3	784120740	02:12	0	1
899	43	6	6	CERTIFICATION	4			18	1
910	44	1	1	10-saptah ki yatra mein aapka swagat  hai.	1	742273154	7:52	0	1
911	44	1	1	INNER DNA TEST	2			1	1
912	44	1	1	WHO ARE YOU ( DEBRIEF )	3	742275914	12:17	0	1
913	44	1	1	WHEEL OF LIFE ( ACTIVITY )	4			3	1
914	44	1	1	WHEEL OF LIFE ( DEBRIEF )	5	742276142	8:32	0	1
915	44	1	1	YOUR INNER DNA	6	742276041	12:43	0	1
916	44	1	1	THE SPEECH ( ACTIVITY )	7	742276252	5:45	0	1
917	44	1	1	THE SPEECH ( DEBRIEF )	8	742273083	1:42	0	1
918	44	1	1	DISCOVER YOUR INNER DNA ( ACTIVITY )	9			4	1
919	44	2	2	Incredible you program ke dusre hafte mein aap sabka swagat hai !	1	742275686	7:52	0	1
920	44	2	2	BASELINES EXPRESSION ACTIVITY	2			0	1
921	44	2	2	BASELINES NON - EXPRESSION ACTIVITY	3	742275860	1:37	0	1
922	44	2	2	BASELINES EXPRESSION AND NON - EXPRESSION DEBRIEF	4	742275776	4:10	0	1
923	44	2	2	THE CHANGE ACTIVITY	5			0	1
924	44	2	2	THE CHANGE DEBRIEF AND JOURNAL EXERCISE	6	742275614	5:10	0	1
925	44	3	3	Teesare hafte mein aapka swagat hai!	1	742275542	8:03	0	1
926	44	3	3	DEFINING MOMENTS	2	742275427	9:56	0	1
927	44	3	3	LETTING GO HOLDING ON ACTIVITY	3			0	1
928	44	3	3	LETTING GO HOLDING ON DEBRIEF	4	742275305	11:19	0	1
929	44	4	4	Aapka CODING (TOOL)	1	742275205	5:48	8	1
930	44	4	4	CODING DEBRIEF	2	742275139	2:20	0	1
931	44	4	4	Aapki kahani (ACTIVITY)	3	742275044	7:38	0	1
932	44	4	4	Aapki kahani (DEBRIEF)	4			0	1
933	45	1	1	Aapka outcomes plus par swagat hai !	1	742274924	7:57	0	1
934	45	1	1	Kaunse outcome ko ahmiyat de? (ACTIVITY)	2			0	1
935	45	1	1	Kaunse outcome ko ahmiyat de?(DEBRIEF)	3	742274815	5:10	0	1
936	45	1	1	Apne sabse khas outcome ko chune (ACTIVITY)	4			12	1
937	45	1	1	Apne sabse khas outcome ko chune (DEBRIEF)	5			0	1
938	45	1	1	Journal activity	6			0	1
939	45	2	2	INCRED OUTCOMES	1	742274579	19:06	0	1
940	45	2	2	INCRED OUTCOMES BANAYE (ACTIVITY)	2	742274759	03:36	0	1
941	45	2	2	INCRED OUTCOMES BANAYE (DEBRIEF)	3			0	1
942	45	2	2	CHALLENGES ACTIVITY	4			0	1
943	45	2	2	CHALLENGES DEBRIEF	5			0	1
944	45	2	2	POWER LEAPS (ACTIVITY)	6	742274458	09:12	0	1
945	45	2	2	POWER LEAPS (DEBRIEF)	7	742274391	01:59	0	1
946	45	3	3	Satava hafta, unleash you mein aapka swagat hai 	1	742274318	03:50	0	1
947	45	3	3	Meri pichhli zindagi mein kiye hue faisle (ACTIVITY)	2	742274241	01:23	0	1
